127.0.0.1 - - [05/Aug/2024:10:56:08 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:13 +0530] "GET /IBM_PROJECT_2024/registration.jsp HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:13 +0530] "GET /IBM_PROJECT_2024/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:13 +0530] "GET /IBM_PROJECT_2024/images/signup-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:13 +0530] "GET /IBM_PROJECT_2024/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:13 +0530] "GET /IBM_PROJECT_2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:13 +0530] "GET /IBM_PROJECT_2024/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:13 +0530] "GET /IBM_PROJECT_2024/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:13 +0530] "GET /IBM_PROJECT_2024/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:13 +0530] "GET /IBM_PROJECT_2024/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:13 +0530] "GET /IBM_PROJECT_2024/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:13 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:17 +0530] "POST /IBM_PROJECT_2024/register HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:17 +0530] "GET /IBM_PROJECT_2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:17 +0530] "GET /IBM_PROJECT_2024/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:20 +0530] "POST /IBM_PROJECT_2024/register HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:20 +0530] "GET /IBM_PROJECT_2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:20 +0530] "GET /IBM_PROJECT_2024/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:23 +0530] "POST /IBM_PROJECT_2024/register HTTP/1.1" 200 3228
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:23 +0530] "GET /IBM_PROJECT_2024/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:23 +0530] "GET /IBM_PROJECT_2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:25 +0530] "GET /IBM_PROJECT_2024/login.jsp HTTP/1.1" 200 2963
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:25 +0530] "GET /IBM_PROJECT_2024/vendor/jquery/jquery.min.js HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:25 +0530] "GET /IBM_PROJECT_2024/alert/dist/sweetalert.css HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:25 +0530] "GET /IBM_PROJECT_2024/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2024:10:56:27 +0530] "POST /IBM_PROJECT_2024/login HTTP/1.1" 200 22742
