127.0.0.1 - - [16/Sep/2024:09:15:09 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:10 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30570
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:10 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:11 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:11 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-3.jpg HTTP/1.1" 200 25096
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:11 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-2.jpg HTTP/1.1" 200 22027
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:13 +0530] "GET /IBM_PROJECTS_OJT2024/img/favicon.ico HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:21 +0530] "GET /IBM_PROJECTS_OJT2024/index.jsp HTTP/1.1" 200 30570
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:24 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 33348
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/Rakshit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/Jitesh.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:24 +0530] "GET /IBM_PROJECTS_OJT2024/img/Akash.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:55 +0530] "GET /CrudOperation HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:56 +0530] "GET /CrudOperation/ HTTP/1.1" 200 13362
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:56 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [16/Sep/2024:09:15:59 +0530] "GET /IBM_PROJECTS_OJT2024 HTTP/1.1" 302 -
