127.0.0.1 - - [02/Oct/2024:18:52:21 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/ HTTP/1.1" 200 30877
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/css1/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/lib/animate/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/css/lightbox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/css1/style.css HTTP/1.1" 200 15531
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/leopard.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/lib/waypoints/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/lib/counterup/counterup.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/js/lightbox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/conservation.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/lib/easing/easing.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/lib/wow/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/educationlogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/communitylogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/support.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/indianelephant2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/Sangai.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/lions.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/testimonial-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/glm.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/bengal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:26 +0530] "GET /IBM_PROJECTS_OJT2024/img/Indian-one-horned-rhinoceros.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:27 +0530] "GET /IBM_PROJECTS_OJT2024/img/bg-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:27 +0530] "GET /IBM_PROJECTS_OJT2024/img/bg-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:28 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/images/prev.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:28 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/images/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:28 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/images/close.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:28 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/images/next.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:52:29 +0530] "GET /IBM_PROJECTS_OJT2024/img/favicon.ico HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:53:55 +0530] "GET /IBM_PROJECTS_OJT2024/lib/lightbox/js/lightbox.min.map HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:54:19 +0530] "GET /IBM_PROJECTS_OJT2024/about.jsp HTTP/1.1" 200 35495
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:54:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/endangerspecies.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:54:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/trust.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:54:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/scientific.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:54:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/community.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:54:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/Jitesh.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:54:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/Akash.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:54:19 +0530] "GET /IBM_PROJECTS_OJT2024/img/kumar_rakshit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:54:39 +0530] "GET /IBM_PROJECTS_OJT2024/conservation.jsp HTTP/1.1" 200 32032
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:54:40 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal.mp4 HTTP/1.1" 206 44367872
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:54:41 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal.mp4 HTTP/1.1" 206 44367872
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:54:49 +0530] "GET /IBM_PROJECTS_OJT2024/report.jsp HTTP/1.1" 200 21218
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:55:14 +0530] "GET /IBM_PROJECTS_OJT2024/volunteer.jsp HTTP/1.1" 200 19392
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:03 +0530] "POST /IBM_PROJECTS_OJT2024/VolunteerServlet HTTP/1.1" 200 12783
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/e.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/sundarban.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/jim.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/kazi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/Ranthambhore.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/bandh.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/periyar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/nagarhole.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/gir.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife/sarishka-nationalpark.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:17 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:21 +0530] "GET /IBM_PROJECTS_OJT2024/Event/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:21 +0530] "GET /IBM_PROJECTS_OJT2024/Event/lib/wow/wow.min.js HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:21 +0530] "GET /IBM_PROJECTS_OJT2024/img/news2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:21 +0530] "GET /IBM_PROJECTS_OJT2024/img/news3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:21 +0530] "GET /IBM_PROJECTS_OJT2024/img/news.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:21 +0530] "GET /IBM_PROJECTS_OJT2024/img/news4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:21 +0530] "GET /IBM_PROJECTS_OJT2024/Event/lib/waypoints/waypoints.min.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:21 +0530] "GET /IBM_PROJECTS_OJT2024/Event/lib/easing/easing.min.js HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:21 +0530] "GET /IBM_PROJECTS_OJT2024/Event/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:21 +0530] "GET /IBM_PROJECTS_OJT2024/Event/lib/counterup/counterup.min.js HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:21 +0530] "GET /IBM_PROJECTS_OJT2024/img/news7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:21 +0530] "GET /IBM_PROJECTS_OJT2024/Event/lib/lightbox/js/lightbox.min.js HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:21 +0530] "GET /IBM_PROJECTS_OJT2024/img/news8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal-md-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal-lg-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/scripts.js HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal-lg-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal-md-2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal-lg-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/img/animal-md-3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/12.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/14.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/15.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:25 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/16.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:26 +0530] "GET /IBM_PROJECTS_OJT2024/wildlife%20gallery/header.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:30 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:30 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/amazon.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:30 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/underwater.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:30 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/baby.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:30 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/speed.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:30 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/forest.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:30 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/winter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:30 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/indian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:30 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/asia.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/header.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/3.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/4.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/5.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/1.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/2.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/6.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/7.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/8.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/10.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/11.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/12.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/9.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:31 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/12.mp4 HTTP/1.1" 206 3041068
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:36 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/4.mp4 HTTP/1.1" 206 1048576
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:38 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/8.mp4 HTTP/1.1" 206 57828899
0:0:0:0:0:0:0:1 - - [02/Oct/2024:18:56:38 +0530] "GET /IBM_PROJECTS_OJT2024/Wildlife%20video/3.mp4 HTTP/1.1" 206 16205864
